Sl.No.,Learning Rate,Layer1,Layer2,Accuracy_7_epoch
1,0.03,ReLU(),ReLU(),0.94577456
2,0.03,ReLU(),Tanh(),0.9741526
3,0.03,ReLU(),Sigmoid(),0.9736408
4,0.03,ReLU(),SELU(),0.97318584
5,0.03,Tanh(),ReLU(),0.9771667
6,0.03,Tanh(),Tanh(),0.97978276
7,0.03,Tanh(),Sigmoid(),0.9781193
8,0.03,Tanh(),SELU(),0.9779345
9,0.03,Sigmoid(),ReLU(),0.98103386
10,0.03,Sigmoid(),Tanh(),0.98160255
11,0.03,Sigmoid(),Sigmoid(),0.97486347
12,0.03,Sigmoid(),SELU(),0.9809628
13,0.03,SELU(),ReLU(),0.97765017
14,0.03,SELU(),Tanh(),0.98103386
15,0.03,SELU(),Sigmoid(),0.9828964
16,0.03,SELU(),SELU(),0.97884446
17,0.003,ReLU(),ReLU(),0.9843039
18,0.003,ReLU(),Tanh(),0.98417604
19,0.003,ReLU(),Sigmoid(),0.98392004
20,0.003,ReLU(),SELU(),0.98460245
21,0.003,Tanh(),ReLU(),0.9826831
22,0.003,Tanh(),Tanh(),0.9835362
23,0.003,Tanh(),Sigmoid(),0.98207176
24,0.003,Tanh(),SELU(),0.98335135
25,0.003,Sigmoid(),ReLU(),0.9828253
26,0.003,Sigmoid(),Tanh(),0.9827115
27,0.003,Sigmoid(),Sigmoid(),0.97951263
28,0.003,Sigmoid(),SELU(),0.98211443
29,0.003,SELU(),ReLU(),0.98305273
30,0.003,SELU(),Tanh(),0.9834935
31,0.003,SELU(),Sigmoid(),0.98339397
32,0.003,SELU(),SELU(),0.98399115
33,0.001,ReLU(),ReLU(),0.9840196
34,0.001,ReLU(),Tanh(),0.98428977
35,0.001,ReLU(),Sigmoid(),0.98433226
36,0.001,ReLU(),SELU(),0.984503
37,0.001,Tanh(),ReLU(),0.9821998
38,0.001,Tanh(),Tanh(),0.9839201
39,0.001,Tanh(),Sigmoid(),0.9833229
40,0.001,Tanh(),SELU(),0.9843892
41,0.001,Sigmoid(),ReLU(),0.98222816
42,0.001,Sigmoid(),Tanh(),0.98183006
43,0.001,Sigmoid(),Sigmoid(),0.9812614
44,0.001,Sigmoid(),SELU(),0.98161685
45,0.001,SELU(),ReLU(),0.98328024
46,0.001,SELU(),Tanh(),0.9841333
47,0.001,SELU(),Sigmoid(),0.9836356
48,0.001,SELU(),SELU(),0.98416173
