Sl.No.,Learning_Rate,No_of_layer,epoch1,epoch2,epoch3,epoch4,epoch5,epoch6,epoch7,epoch8,epoch9,epoch10,Mean_accuracy
1,0.001,2,0.717,0.815,0.843,0.858,0.87,0.877,0.883,0.888,0.892,0.895,0.854
2,0.001,3,0.688,0.794,0.835,0.858,0.869,0.875,0.881,0.887,0.89,0.893,0.847
3,0.01,2,0.911,0.92,0.927,0.93,0.934,0.938,0.939,0.944,0.947,0.949,0.934
4,0.01,3,0.916,0.928,0.936,0.944,0.949,0.951,0.954,0.958,0.96,0.963,0.946
5,0.05,2,0.951,0.952,0.96,0.962,0.962,0.965,0.966,0.967,0.969,0.969,0.962
6,0.05,3,0.959,0.963,0.969,0.97,0.973,0.977,0.975,0.975,0.979,0.978,0.972
7,0.1,2,0.962,0.962,0.967,0.969,0.965,0.967,0.964,0.969,0.973,0.97,0.967
8,0.1,3,0.969,0.971,0.972,0.973,0.976,0.973,0.975,0.977,0.979,0.975,0.974
9,0.5,2,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103
10,0.5,3,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103
